Sample,group,name,value
CURTIS_H001662_T01_01_WG01,IC10,ddr,TRUE
CURTIS_H001662_T01_01_WG01,IC10,ubi,FALSE
CURTIS_H001662_T01_01_WG01,IC10,cell_cycle,FALSE
CURTIS_H001683_T01_01_WG01,IC10,ddr,FALSE
CURTIS_H001683_T01_01_WG01,IC10,ubi,FALSE
CURTIS_H001683_T01_01_WG01,IC10,cell_cycle,TRUE
CURTIS_H001686_T01_01_WG01,IC10,ddr,TRUE
CURTIS_H001686_T01_01_WG01,IC10,ubi,FALSE
CURTIS_H001686_T01_01_WG01,IC10,cell_cycle,FALSE
CURTIS_H001694_T01_01_WG01,IC10,ddr,TRUE
CURTIS_H001694_T01_01_WG01,IC10,ubi,FALSE
CURTIS_H001694_T01_01_WG01,IC10,cell_cycle,FALSE
CURTIS_H001696_T01_01_WG01,IC10,ddr,TRUE
CURTIS_H001696_T01_01_WG01,IC10,ubi,FALSE
CURTIS_H001696_T01_01_WG01,IC10,cell_cycle,FALSE
CURTIS_H001697_T01_01_WG01,IC10,ddr,TRUE
CURTIS_H001697_T01_01_WG01,IC10,ubi,FALSE
CURTIS_H001697_T01_01_WG01,IC10,cell_cycle,FALSE
CURTIS_H001702_T01_01_WG01,IC4ER-,ddr,TRUE
CURTIS_H001702_T01_01_WG01,IC4ER-,ubi,FALSE
CURTIS_H001702_T01_01_WG01,IC4ER-,cell_cycle,TRUE
CURTIS_H001703_T01_01_WG01,IC4ER-,ddr,TRUE
CURTIS_H001703_T01_01_WG01,IC4ER-,ubi,FALSE
CURTIS_H001703_T01_01_WG01,IC4ER-,cell_cycle,FALSE
CURTIS_H001710_T01_01_WG01,IC10,ddr,TRUE
CURTIS_H001710_T01_01_WG01,IC10,ubi,FALSE
CURTIS_H001710_T01_01_WG01,IC10,cell_cycle,FALSE
CURTIS_H002029_T01_01_WG01,IC10,ddr,FALSE
CURTIS_H002029_T01_01_WG01,IC10,ubi,FALSE
CURTIS_H002029_T01_01_WG01,IC10,cell_cycle,TRUE
CURTIS_H002030_T01_01_WG01,IC10,ddr,TRUE
CURTIS_H002030_T01_01_WG01,IC10,ubi,FALSE
CURTIS_H002030_T01_01_WG01,IC10,cell_cycle,FALSE
CURTIS_H002032_T01_01_WG01,IC10,ddr,TRUE
CURTIS_H002032_T01_01_WG01,IC10,ubi,FALSE
CURTIS_H002032_T01_01_WG01,IC10,cell_cycle,TRUE
CURTIS_H002033_T01_01_WG01,IC10,ddr,TRUE
CURTIS_H002033_T01_01_WG01,IC10,ubi,FALSE
CURTIS_H002033_T01_01_WG01,IC10,cell_cycle,FALSE
CURTIS_H002035_T01_01_WG01,IC10,ddr,FALSE
CURTIS_H002035_T01_01_WG01,IC10,ubi,FALSE
CURTIS_H002035_T01_01_WG01,IC10,cell_cycle,FALSE
CURTIS_H002037_T01_01_WG01,IC10,ddr,FALSE
CURTIS_H002037_T01_01_WG01,IC10,ubi,FALSE
CURTIS_H002037_T01_01_WG01,IC10,cell_cycle,FALSE
CURTIS_H002038_T01_01_WG01,IC10,ddr,TRUE
CURTIS_H002038_T01_01_WG01,IC10,ubi,FALSE
CURTIS_H002038_T01_01_WG01,IC10,cell_cycle,FALSE
CURTIS_H002039_T01_01_WG01,IC10,ddr,FALSE
CURTIS_H002039_T01_01_WG01,IC10,ubi,FALSE
CURTIS_H002039_T01_01_WG01,IC10,cell_cycle,FALSE
CURTIS_H002040_T01_01_WG01,IC10,ddr,TRUE
CURTIS_H002040_T01_01_WG01,IC10,ubi,FALSE
CURTIS_H002040_T01_01_WG01,IC10,cell_cycle,FALSE
CURTIS_H002041_T01_01_WG01,IC10,ddr,TRUE
CURTIS_H002041_T01_01_WG01,IC10,ubi,FALSE
CURTIS_H002041_T01_01_WG01,IC10,cell_cycle,FALSE
CURTIS_H002043_T01_01_WG01,IC10,ddr,TRUE
CURTIS_H002043_T01_01_WG01,IC10,ubi,FALSE
CURTIS_H002043_T01_01_WG01,IC10,cell_cycle,TRUE
CURTIS_H002044_T01_01_WG01,IC10,ddr,TRUE
CURTIS_H002044_T01_01_WG01,IC10,ubi,FALSE
CURTIS_H002044_T01_01_WG01,IC10,cell_cycle,FALSE
CURTIS_H002045_T01_01_WG01,IC10,ddr,TRUE
CURTIS_H002045_T01_01_WG01,IC10,ubi,FALSE
CURTIS_H002045_T01_01_WG01,IC10,cell_cycle,TRUE
CURTIS_H002046_T01_01_WG01,IC10,ddr,TRUE
CURTIS_H002046_T01_01_WG01,IC10,ubi,FALSE
CURTIS_H002046_T01_01_WG01,IC10,cell_cycle,FALSE
CURTIS_H002048_T01_01_WG01,IC10,ddr,FALSE
CURTIS_H002048_T01_01_WG01,IC10,ubi,FALSE
CURTIS_H002048_T01_01_WG01,IC10,cell_cycle,FALSE
CURTIS_H002050_T01_01_WG01,IC10,ddr,FALSE
CURTIS_H002050_T01_01_WG01,IC10,ubi,FALSE
CURTIS_H002050_T01_01_WG01,IC10,cell_cycle,FALSE
CURTIS_H002051_T01_01_WG01,IC10,ddr,TRUE
CURTIS_H002051_T01_01_WG01,IC10,ubi,FALSE
CURTIS_H002051_T01_01_WG01,IC10,cell_cycle,TRUE
CURTIS_H002052_T01_01_WG01,IC10,ddr,FALSE
CURTIS_H002052_T01_01_WG01,IC10,ubi,FALSE
